Applicant Details,,"Eligibility Criteria
Decision Box – Eligibility
application_593_bundle.zip,Applicant_593,00/2940 MWIG/SHG/2420/2020,Kitui,Other,Bank Statement,725405504,Fail,Out of scope in value chain. Constructs bee hives and other bee keeping activities.,5,Registered for 9 years,2,Revenue levels are sub-Ksh 1M and declining/volatile; evidence of financial stress and weak record keeping,3,"Good local demand evidence and diversification of services (product + training), but market traction is emergent rather than proven.",3,"Good planning and realistic KPIs, but execution risk is high given current scale and lack of verified financing or contracts.",4,Strong alignment and a role that helps upgrade the apiculture value chain (aggregation/production enabler).,4,Clear gender/youth impact and climate-smart practices.No PWD,,Tier 2,100,40,60,60,80,80,10,8,12,15,12,8,65,0,65,206,
application_594_bundle.zip,Applicant_594,BN-P6C2YGVB,Homa Bay,Other,Income Statement,740638496,Fail,Out of scope in value chain. Deals with cross breeding animals.,5,functioning governance,2,Turnover<1M and sparadic records,0,no market evidence,3,clear direction,0,open for years with no slaes,5,>50% women and more than 2 green practices,,,100,40,0,60,0,100,10,8,0,15,0,10,43,0,43,430,
application_595_bundle.zip,Applicant_595,CS/17656,Kitui,Other,Bank Statement,712182909,Fail,Out of scope in value chain. Constructs bee hives and other bee keeping activities.,5,Registered for 10 years,1,Thin evidence,1,"Limited demand evidence, no formal offtake agreements, weak competitiveness.",1,"Vague plan with weak targets, not viable for scaling",0,Not in priority VC,1,Minimal inclusivity,,Tier 1,100,20,20,20,0,20,10,4,4,5,0,2,25,0,25,505,
application_596_bundle.zip,Applicant_596,RA-EGSP7M,Nandi,Other,Mpesa statement,729470525,Fail,"Out of scope in value chain. Involved i knitting, embroidery and tailoring in small scale for sale in local markets",3,Registered as an MSME Association with structured leadership  registration appears to be less than 1 year ,0,Mpesa statement is for an individual not for the group hence no turnover record ,2,"Steady domestic B2B B2C sales, with small export share)to diaspora clients.",2,"Business goals well articulated  market expansion, improved customer satisfaction, and brand growth.",3,"Operates within the Textiles priority value chain, producing garments, embroidery, and knitted items. Plays an active production and design role,",3,"strong gender inclusion criteria. However, no green/sustainability practices reported, bringing down the score.",DQ1,Tier 1,60,0,40,40,60,60,6,0,8,10,9,6,39,#N/A,0,520,
application_597_bundle (1).zip,Applicant_597, PVT - 6LUQPOA,Kisii,Other,Mpesa statement,711331197,Fail,Out of scope in value chain. Has ventured into banana farming,4,Registered and operational for over 2 years with evidence of growth and stability but limited proof of audited or certified records,0,No verifiable financial evidence; unrelated attachment,4,"Active sales across B2B and B2C markets with growing demand and clear differentiation, but limited formal contracts or verified partnerships.",4,Comprehensive and realistic proposal with clear targets and growth vision; lacks detailed costing and co-funding structure,0,Out of scope in value chain. Has ventured into banana farming,4,"Strong gender inclusion and environmental sustainability, moderate youth participation, no explicit PWD inclusion",,Tier 1,80,0,80,80,0,80,8,0,16,20,0,8,52,0,52,344,
application_598_bundle.zip,Applicant_598,DSD/37/207/01/80613,Kakamega,Other,Bank Statement,721974963,Fail,Out of scope in value chain. Produces milk for sale in local markets.,3,Registered and its less than1 yr;,2,less than 1M and sparadic records,3,good local sales,3,presence of many females and clear green initiatives,4,operates in dairy farming and have clear goals,3,Good female participation ,P2,,60,40,60,60,80,60,6,8,12,15,12,6,59,3,56,303,
application_599_bundle.zip,Applicant_599,BTR/DSS/WG/9285/2019,Kakamega,Other,Bank Statement,701474936,Fail,Out of scope in value chain. Produces milk from a smale scale farm and sells locally.,5,Legally registered and operating for 6 years,2,Turnover less than1M sporadic records.,4,Active local demand,4,Clear goals,0,Not in any priority VC,2,70& women employment 80& youth employment with green practice,P1,,100,40,80,80,0,40,10,8,16,20,0,4,58,5,53,332,
application_600_bundle.zip,Applicant_600,DSD/37/207/01/43600,Kakamega,Other,Bank Statement,725857955,Fail,Out of scope in value chain. Produces milk from a smale scale farm and sells locally.,5,legally registered and less than 2 years,1,irregular transaction,3,regular local sales,4,clear goals,2,operates in dairy farming and have clear goals,3,Good male participation ,DQ1,,100,20,60,80,40,60,10,4,12,20,6,6,58,#N/A,0,520,
application_601_bundle.zip,Applicant_601,BTR/DSS/CBO/0088/2020,Kakamega,Other,Bank Statement,723584205,Fail,Out of scope in value chain. Produces milk from a smale scale farm and sells locally.,5,legally registered,2,Turnover less than1M sporadic records.,4,Consistent daily orders ,4,clear goals,2,operates in dairy farming and have clear goals,3,Good male participation ,P1,,100,40,80,80,40,60,10,8,16,20,6,6,66,5,61,250,
application_602_bundle.zip,Applicant_602,BN/2014/264911,Kilifi,Other,Income Statement,721963635,Fail,Out of scope in value chain. Produces nuts and seeds for local consumerism purposes,5,Registered >5 years with proven operational track record and consistent activity.,1,"Thin financial evidence, irregular transactions",4,Demonstrates clear market presence and competitiveness with room for scale-up.,4,"Clear, structured proposal showing growth potential, though lacks detailed financial projection",0,Out of scope in value chain. Produces nuts and seeds for local consumerism purposes,3,Moderate gender and youth inclusion; moderate sustainability practice with potential to deepen green initiatives,,Tier 2,100,20,80,80,0,60,10,4,16,20,0,6,56,0,56,303,
application_603_bundle.zip,Applicant_603,PVT-EYUBY2RG,Kwale,Other,Mpesa statement,721440217,Fail,Out of scope in value chain. Produces charcoal briquettes for household use in cooking.,4,Registered for 2 years,2,Turnover <1M,5,"Active clients (schools, hospitals, industries, households). Competes with leading firms (BURN, Eco Makaa). Demonstrates strong market understanding, demand drivers, and unique value (dual briquette model).",5,"Highly detailed proposal with SMART objectives, targets (10,000 briquettes, 5,000 cookstoves/year), and clear KPIs. Includes expansion plan (6 counties), co-investment readiness, and quantified outcomes.",5,"Operates in renewable energy waste-to-energy chain — strong upstream (waste sourcing) and downstream (distribution to households, institutions). Clearly fills a processing and circular economy node.",4,≥50% youth; ≥30% women leadership ; multiple green practice,,Tier 2,80,40,100,100,100,80,8,8,20,25,15,8,84,0,84,59,
application_604_bundle.zip,Applicant_604,ASSFA13B8B,Kilifi,Other,Balance Sheets,790175522,Fail,"Out of scope in value chain. Deals with milk production, animal husbandry, feed formulation, fodder planting and storage.",3,Active group with valid registration but limited verifiable operational records.,0,No financial evidence from the last 12 months,3,Demonstrates awareness of market and competitors but lacks structured marketing strategy.,4,Clear business vision and investment focus; proposal well aligned to improving value addition.,1,"Functional within dairy, but not relevant to project’s targeted value chains.",4,Good women inclusion and sustainability commitment,,Tier 2,60,0,60,80,20,80,6,0,12,20,3,8,49,0,49,380,
application_605_bundle.zip,Applicant_605,SS/KFI/S/LR/SHG/CHONYI-D/63/2016,Kilifi,Textile,Income Statement,740540926,Fail,Unverifiable income statement,5,Registered for ≥3 years with consistent operations and leadership documentation.,0,"Thin financial evidence, irregular transactions",3,Active but small-scale; has demand at local level with emerging competitiveness.,4,"Solid, practical growth plan with clear operational goals and realistic needs.",4,"Strong role within a key node (production/training), though limited formal linkages",4,Strong inclusivity; social sustainability focus evident,,Tier 1,100,0,60,80,80,80,10,0,12,20,12,8,62,0,62,241,
application_606_bundle.zip,Applicant_606,CS/NO.10.164,Nyandarua,Dairy,Bank Statement,721377103,Fail,Insufficient financial evidenc. Has provided only one month income statement.,5,Fully registered cooperative  with long operational history (well over 3 years). Strong governance,2,Turnover record provided is only for 1 month hence insufficient  . Uses QuickBooks for accounting,3,"Active supply contracts with processors and institutions; B2B,and B2C. Consistent monthly orders",4,"Exceptionally detailed business plan  quantified targets,timelineand monitoring framework",0,Out of priority of value chain,3,"gender-inclusive leadership. Multiple green practices: solar energy,",,Tier 1,100,40,60,80,0,60,10,8,12,20,0,6,56,0,56,303,
application_607_bundle.zip,Applicant_607,ASS-7F7CA88,Kwale,Leather,Bank Statement,710128616,Fail,Ineligible business registration,5,Registered for 3 years,1,Minimal transactions,3,"100% domestic B2C sales; no formal B2B or export linkages. However, active customer base across Kinango and Kwale, with plans for marketing through social media.",3,"Business plan is moderately clear — goal to expand market through advertising and improved product quality. However, lacks detailed execution steps, budgets, or measurable targets.",4,Engaged in leather (priority) and construction fabrication (secondary) — moderate alignment. Contributes to production-level node but limited downstream linkages.,4,"~40% women participation, youth inclusion, tree planting and farming practices noted. Positive sustainability behavior though limited scope.",,Tier 2,100,20,60,60,80,80,10,4,12,15,12,8,61,0,61,250,
application_608_bundle (1).zip,Applicant_608,CS/28585,Samburu,Edible Oils,Bank Statements,716616581,Pass,"Necessary documentation, Multiple value chains, including meat handling and leather",4,Registered <3 years,1,"Thin evidence, inconsistent with statements",4,"Consistent sales, B2B/B2C/export; no contracts yet.",3,Clear growth direction; lacks budget and risk mitigation.,4,"Additional VC, clear aggregation/processing, upstream-downstream linkages.",3,: ≥50% youth inclusion; minimal green practices.,P1,Tier 1,80,20,80,60,80,60,8,4,16,15,12,6,61,5,56,303,Audrey
application_609_bundle.zip,Applicant_609,RA-R7TDRA,Wajir,Dairy,Bank Statements,729862443,Pass,Necessary documentation attached,4,Registered <3 years,2,"<1M turnover, sporadic results Basic records",3,Local sales via wholesalers; emerging quality practices,3,"Clear growth direction; generic targets, lacks budget.",4,"priority VC, clear node participation, some linkages",3,strong gender inclusivity 0 sustainability practices,,Tier 1,80,40,60,60,80,60,8,8,12,15,12,6,61,0,61,250,Audrey
application_610_bundle.zip,Applicant_610,PVT-V7UA36PZ,Meru,Other,Bank and Mpesa Statements,724546685,Fail,"Not a prority VC, potato chips processing",4,Legally registered and operating for 2 years ,2,Turn over of less than 1M but improving with 2 years of income proof,3,Regular local B2C sales but no B3B or digital sales yet,4,Strong plan with qualified targets and detailed execution ,0,Potato crisps is not a recognised priority VC under current call,4,"Women led interprise,youth involvement,no green practices ",,Tier 1,80,40,60,80,0,80,8,8,12,20,0,8,56,0,56,303,
application_611_bundle.zip,Applicant_611,ASS RA-JRSRVM,Kwale,Forestry,None,715172338,Fail,"Overlaps with blue economy, no financial evidence",3,Registered for 5 months,0,The records are from Jan-March yet company was registered in June,1,"Engaged in B2B (35%) and B2C (65%) tourism markets. Offers diversified services (marine excursions, weaving, eco-bandas). Strong linkage with hotels, NGOs, and local institutions; currently building a website for outreach.",2,"Vision clear (“low carbon agriculture, net-zero agenda”), but no budget, targets, or plan execution details; conceptual, not operational.",4,"Strong conceptual alignment with Forestry and Blue Economy policy areas, clear environmental positioning, but not yet active in commercial aggregation/processing.",4,">60% women members, green practices (forestry, carbon credits, net-zero focus). Sustainability is authentic and central.",,Tier 2,60,0,20,40,80,80,6,0,4,10,12,8,40,0,40,454,
application_612_bundle.zip,Applicant_612,CS/24876,Elgeyo-Marakwet,Other,Bank Statements,716892084,Fail,"Not a prority VC, women financing sacco",4,Registered more than 5 years with basic structure in place,1,"Thin evidence, statement provided is a one month statement from 2021",0,No market evidence,2,Vague plan,0,Out of scope in value chain,,,,,80,20,0,40,0,0,8,4,0,10,0,0,22,0,22,510,
application_613_bundle.zip,Applicant_613,No. 35586,Tharaka Nithi,Other,Bank Statements,729152168,Fail,"Not a priority VC, meat slaughter and processing",5,The company has been operating for over 3 years with a stable governance.,4,Verified bank statement with just over five million.,4,There is consistent sales from multiple buyers and growing market demand.,4,There is a strong plan to expand and improve sufficiency with minor gaps.,0,"Operates in livestock and emerging leather value chain, which is outside priority VCs.",4,There is a strong gender participation and green practices.,,,100,80,80,80,0,80,10,16,16,20,0,8,70,0,70,166,
application_614_bundle.zip,Applicant_614,CS/19828,Kwale,Textile,Income and bank Statements,742080176,Pass,Necessary documentation attached,5,Registered > 3yrs,5,Turnover ≥10M; positive 2-yr trend; bank statements provided,5,active offtake/buyer contracts; repeat customers; defensible price,4,strong plan with minor gaps,5,"aggregation + processing, linkages to Thika Cloth Mills and gov’t seed suppliers",4,strong gender/youth participation; 2+ green practices; no PWD inclusion,,Tier 1,100,100,100,80,100,80,10,20,20,20,15,8,93,0,93,17,Audrey
application_615_bundle.zip,Applicant_615,CS/24237,Tharaka Nithi,Dairy,Income and bank Statements,728093770,Pass,Necessary documentation attached,5,Registered > 3yrs,5,Turnover ≥10M; positive 2-yr trend; bank statements provided,4,consistent monthly orders; growing channels; basic quality assurance,4,strong plan with minor gaps,5,priority VC; fills critical node; documented linkages upstream & downstream,4,strong gender/youth participation; 2+ green practices; no PWD inclusion,,Tier 1,100,100,80,80,100,80,10,20,16,20,15,8,89,0,89,32,Audrey
application_616_bundle.zip,Applicant_616,CS/30184,Siaya,Edible Oils,Bank Statements,769950508,Pass,Necessary documentation attached,4,Registered ≥1yr basic structure,2,Turnover <1M; sporadic results,3,regular local sales; one channel; emerging quality practices,4,strong plan with minor gaps; no costed budget or risk mitigation,5,priority VC; fills critical node; documented linkages upstream & downstream,3,moderate inclusion; some intent on sustainability,,Tier 1,80,40,60,80,100,60,8,8,12,20,15,6,69,0,69,173,Audrey
application_617_bundle.zip,Applicant_617,PVT-JZUGVEY2,Vihiga,Textile,Bank Statements,789038964,Pass,Necessary documentation attached,5,Registered > 3yrs,2,Turnover <1M; sporadic results,4,"Stable demand from schools & institutions, mix of B2B/B2C, digital entry started, but no formal offtake contracts",4,strong plan with minor gaps; no costed budget or risk mitigation,4,"well-placed in textile VC with upstream sourcing and downstream sales, but linkages not fully formalized",4,≥50% women/youth + 2+ green practices; no PWDs,,Tier 1,100,40,80,80,80,80,10,8,16,20,12,8,74,0,74,130,Audrey
application_618_bundle (2).zip,Applicant_618,ASS-988361C,Mandera,Construction,Bank Statements,720729712,Pass,Necessary documentation attached,5,Registered > 3yrs,2,"Turnover < 1M, records exist through QuickBooks",3,regular local sales; one channel; emerging quality practice,2,vague plan; limited targets; unclear resourcing,3,priority VC; weak linkages; potential to upgrade,4,strong gender/youth participation; 2+ green practices; no PWD inclusion,,Tier 1,100,40,60,40,60,80,10,8,12,10,9,8,57,0,57,296,Audrey
application_619_bundle (1).zip,Applicant_619,NRK/DSS/NN/1633,Narok,Dairy,Bank Statements,725065015,Pass,Necessary documentation attached,5,Registered > 3yrs,3,Turnover 1–<5M; stable or recovering; at least one statement,4,Consistent monthly orders; growing channels (incl. digital marketplaces); basic quality assurance.,5,clear problem–solution; quantified targets; detailed execution plan; costed budget; risks & mitigations; co-investment readiness,5,Priority VC; fills a critical node (aggregation/processing); documented linkages upstream & downstream.,4,strong gender/youth participation; 2+ green practices; no PWD inclusion,,Tier 1,100,60,80,100,100,80,10,12,16,25,15,8,86,0,86,44,Audrey
application_620_bundle.zip,Applicant_620,CS/29499,Turkana,Other,Bank Statements,719436751,Fail,"Not a priority VC, horticultural produce",5,"Strong governance, steady growth, active for 3+ years.",3,Low turnover yet consistent annual growth. Thin evidence but plausible self-reporting.,4,"Demonstrated local and regional demand, active daily market operations, and cooperative structure that provides scale.",4,Strong vision and realistic goals; moderate financial sophistication.,0,"Falls outside KJET’s defined and extended VCs—engages in trade, not processing or manufacturing of horticultural crops, cereals and poultry products.",5,High inclusion and active adoption of sustainable practices.,,Tier 2,100,60,80,80,0,100,10,12,16,20,0,10,68,0,68,185,
application_621_bundle.zip,Applicant_621,No. 1584,Nairobi,Other,Bank Statements,726238218,Fail,"Not a priority VC, cleaning services",4,"Registered MSME Association , evidently active for 2–3 years with documented leadership",0,Invalid finacial record to prove turnover,2,Regular local B2C sales  and some B2B  within Umoja area.,3,"Clear and structured business objectives (market expansion, financial sustainability, employment growth)",0,"Operates in cleaning and sanitation, which is not a priority KJET value chain",3,"Strong inclusivity: 26 of 35 members are youth (18–35), active women participation.",P1,Tier 1,80,0,40,60,0,60,8,0,8,15,0,6,37,5,32,485,
application_622_bundle.zip,Applicant_622,PVT-6LUXD2Z,Vihiga,Construction,Mpesa Statements,726945608,Fail,"Financial proof unverifiable, password encrypted",2,Registered but irregular governance.,0,No financial evidence.,0,No market evidence.,5,Clear problem and solution details.,4,Clear node with some linkages.,4,Moderate inclusionwith some green practices.,,,40,0,0,100,80,80,4,0,0,25,12,8,49,0,49,380,
application_623_bundle.zip,Applicant_623,CS.11373,Tharaka Nithi,Dairy,Income statements,715914870,Pass,Necessary documentation attached,5,Registered > 3yrs,5,Turnover ≥10M; positive 2-yr trend; income statements provided,4,"consistent orders, multiple channels, quality control; but not yet strong multi-channel diversification",5,"clear problem-solution, targets, execution plan, costed equipment, aligned with growth",5,"priority VC, critical node with linkages",4,strong gender/youth participation; 2+ green practices; no PWD inclusion,,Tier 1,100,100,80,100,100,80,10,20,16,25,15,8,94,0,94,11,Audrey
application_624_bundle.zip,Applicant_624,ASS-F440E6C,Kirinyaga,Other,Cash books,720438127,Fail,"Not a priority VC, unclear horticultural produce",4,"Registered for over 1 year with functioning leadership and growing membership, but limited evidence of structured governance documentation.",0,Thin unverifiable financial evidence,2,"Market vision is innovative and aligned with global demand, but no demonstrated market traction or sales yet",3,"Direction is clear with promising innovation, but proposal remains conceptual with limited operational or financial details",2,embedded in multiple agricultural value chains with a strong sustainability orientation that enhances their competitiveness.,3,Moderate gender and youth inclusion; good sustainability practice with potential to deepen green initiatives,,Tier 2,80,0,40,60,40,60,8,0,8,15,6,6,43,0,43,430,
application_625_bundle.zip,Applicant_625,PVT-DLU67M3,Nairobi,Other,Income statements,723764118,Fail,"Not a priority VC, not directly producing in priority VCs, but supports MSMEs through digital marketing",5,Registered private company  operating for over 3 years with structured governance,4,Turnover  well above KES 10 M threshold. Records show sustained growth,3,"Serves FMCG, Telcos, Financial Services, and international clients (B2B  B2C , Export . ",4,"Comprehensive and data-driven growth plan: regional hubs, 5,000 youth trained,quantified budgets",0,out of scope in value chain though indirect in production node.,3,"presence of many youth (39 of 45 employees), near-gender parity . Clear green initiatives",,Tier 2,100,80,60,80,0,60,10,16,12,20,0,6,64,0,64,219,
application_626_bundle.zip,Applicant_626,CS/12587,Bungoma,Other,Income statements and balance sheets,726954843,Fail,"Not a priority VC, coffee production",5,Registered more than 5 years with functioning governance,5,Turnover above 5M-evidence from two statements,4,"Multi channel sales, B2B, B2C and exports. No clear description on price and quality",2,Vague plan withundefined recourcing and targets or timelines,0,Out of scope in value chain,2,Token inclusion of women with ad-hoc green steps,,,100,100,80,40,0,40,10,20,16,10,0,4,60,0,60,266,
application_627_bundle.zip,Applicant_627,No.1711,Kwale,Construction,Bank Statements,727724672,Pass,Necessary documentation attached,4,Registered ≥1yr basic structure,1,"minimal transactions, thin evidence",3,"regular local sales, one main channel, emerging quality practices",4,strong plan with minor gaps,4,"priority VC, clear node participation, some linkages",3,moderate inclusion,,Tier 2,80,20,60,80,80,60,8,4,12,20,12,6,62,0,62,241,Audrey
application_628_bundle (2).zip,Applicant_628,DSD/8/34/02/51559,Wajir,Construction,Bank card,724897575,Fail,Bank card shows no financial evidence just an account number,2,Registered but irregular governance.,0,No financial evidence.,0,No market evidence.,2,Vague plan.,0,Not a priority VC.,1,No green practices.,P1,,40,0,0,40,0,20,4,0,0,10,0,2,16,5,11,518,
application_629_bundle.zip,Applicant_629,MWI(E)3362536/014,Kitui,Construction,Bank Statements,797535509,Pass,Necessary documentation attached,5,Registered > 3yrs,1,"minimal transactions, thin evidence",3,regular local sales; some channels; emerging quality practices,4,strong plan with minor gaps,4,"priority VC, clear node participation, some linkages",3,moderate inclusion,P1,Tier 1,100,20,60,80,80,60,10,4,12,20,12,6,64,5,59,272,Audrey
application_630_bundle.zip,Applicant_630,PVT-GYUQBB6G,Nyeri,Construction,Bank Statements,722645436,Pass,Necessary documentation attached,5,Registered > 3yrs,5,Turnover ≥10M; positive 2-yr trend; bank statements provided,5,Active contracts; multi-channel; repeat customers; defensible positioning,4,strong plan with minor gaps,5,"priority VC, critical node with linkages",3,moderate inclusion,,Tier 1,100,100,100,80,100,60,10,20,20,20,15,6,91,0,91,24,Audrey
application_631_bundle.zip,Applicant_631,BN-2RC5KV73,Garissa,Textile,Bank statements,705989054,Fail,Personal statement anomalies,5,Registered > 3yrs,2,Turnover <1M; sporadic results due to low volume,2,Intermittent sales; weak channels; limited differentiation,2,Vague plan; limited targets; unclear resourcing,2,Peripheral role; unclear node,3,moderate inclusion,,Tier 2,100,40,40,40,40,60,10,8,8,10,6,6,48,0,48,386,
application_632_bundle.zip,Applicant_632,DSD/6/23/01/21667,Taita Taveta,Edible Oils,Bank statements,702682425,Pass,Necessary documentation attached,3,Registered <1 yr; basic structure in place,2,Turnover <1M; sporadic results due to low volume,2,Intermittent sales; weak channels; limited differentiation,2,Vague plan; limited targets; unclear resourcing,4,"priority VC, clear node participation, some linkages",4,moderate inclusion,,Tier 1,60,40,40,40,80,80,6,8,8,10,12,8,52,0,52,344,Audrey
application_633_bundle.zip,Applicant_633,CS/477,Bungoma,Other,Bank statements,726285559,Fail,"Not a priority VC, coffee production",5,Registered more than 5 years with functioning governance,,,4,"Competitive, however, sells only through one channel",5,Strong plan with quantified targets,0,Out of scope in value chain,2,Low inclusion. More than 2 green practices,,,100,0,80,100,0,40,10,0,16,25,0,4,55,0,55,320,
application_634_bundle.zip,Applicant_634,PVT-JZUGEEL6,Laikipia,Dairy,Income statements,702735380,Pass,Necessary documentation attached,5,Registered > 3yrs,3,Turnover 1 - <5M; stable or recovering; at least one statement,4,"consistent orders, multiple channels, quality control; but not yet strong multi-channel diversification",5,"clear problem-solution, targets, execution plan, costed equipment, aligned with growth",5,"priority VC, critical node with linkages",4,moderate inclusion,,Tier 1,100,60,80,100,100,80,10,12,16,25,15,8,86,0,86,44,Audrey
application_635_bundle.zip,Applicant_635,DSD/3/37/207/01/93724,Kakamega,Dairy,Bank statements,796908267,Pass,Necessary documentation attached,3,small-scale but structured and functional,2,Turnover <1M; sporadic results due to low volume,3,"regular local sales, one main channel, emerging quality practices",4,strong plan with minor gaps,3,priority VC; weak linkages; potential to upgrade,4,moderate inclusion,,Tier 1,60,40,60,80,60,80,6,8,12,20,9,8,63,0,63,230,Audrey
application_636_bundle.zip,Applicant_636,MWIC/SHG/31283/2021,Kitui,Dairy,Bank statements,742794102,Fail,"Bank statement anomaly, similar to another entities",5,Registered for 11 years,0,No financial evidence.,2,"Good market vision, but current competitiveness is weak and unproven.",2,"Strong written plan, but viability doubtful given financial weakness and execution gap.",4,"Strong alignment, though goat milk is niche compared to cow milk",4,Clear gender/youth impact and climate-smart practices.No PWD,DQ1,Tier 2,100,0,40,40,80,80,10,0,8,10,12,8,48,#N/A,0,520,
application_637_bundle (1).zip,Applicant_637,RXUMR6V7,Nyandarua,Dairy,Bank statements,741921688,Pass,Necessary documentation attached,3,small-scale but structured and functional,2,Turnover <1M; sporadic results due to low volume,3,"regular local sales, one main channel, emerging quality practices",4,strong plan with minor gaps,4,"priority VC, clear node participation, some linkages",4,moderate inclusion,,Tier 1,60,40,60,80,80,80,6,8,12,20,12,8,66,0,66,200,Audrey
application_638_bundle (1).zip,Applicant_638,CSNO11800,Kericho,Dairy,Income statements,722983073,Pass,Necessary documentation attached,5,Registered > 3yrs,5,Turnover ≥10M; positive 2-yr trend; bank statements provided,5,active offtake/buyer contracts; repeat customers; defensible positioning,4,strong plan with minor gaps,5,"priority VC, critical node with linkages",3,moderate inclusion,,Tier 1,100,100,100,80,100,60,10,20,20,20,15,6,91,0,91,24,Audrey
application_639_bundle.zip,Applicant_639,CS/12489,Nandi,Tea,Income statements,768025273,Pass,Necessary documentation attached,5,Registered > 3yrs,5,Turnover ≥10M; positive 2-yr trend; bank statements provided,4,"consistent orders, multiple channels, quality control; but not yet strong multi-channel diversification",5,"clear problem-solution, targets, execution plan, costed equipment, aligned with growth",5,"priority VC, critical node with linkages",4,moderate inclusion,,Tier 1,100,100,80,100,100,80,10,20,16,25,15,8,94,0,94,11,Audrey
application_640_bundle.zip,Applicant_640,No. 1884,Kwale,Other,Cash books,723790094,Fail,"Not a priority VC, woodcraft",4,Registered for 2 years,1,Thin evidence,2,"Engaged in B2B (35%) and B2C (65%) tourism markets. Offers diversified services (marine excursions, weaving, eco-bandas). Strong linkage with hotels, NGOs, and local institutions; currently building a website for outreach.",3,"The group identifies clear gaps: lack of modern tools, market linkages, and digital presence. The plan to adopt digital marketing and export own products shows ambition but lacks detailed execution plan or quantified targets.",4,"Strong fit under the Forestry value chain (woodcraft). The group adds value through carving and finishing, using locally sourced raw materials. Potential to upgrade with better equipment and marketing.",3,About 22% women (10/45) and a few youth (6 aged 18–35). Moderate inclusion but some sustainability effort (tree planting). Limited gender leadership but environmental intent is noted.,,Tier 2,80,20,40,60,80,60,8,4,8,15,12,6,53,0,53,332,
application_641_bundle.zip,Applicant_641,BTR/DSS/SHG/10243/2018,Kakamega,Other,Bank statements,710990875,Fail,"Not a priority VC, dairy cow farming",5,fuctioning governance,2,Turnover less than 1M and  sporadic records.,4,consistent dairy farming,3,"Clear growth goals: expanding dairy operations, acquiring milking and mixing equipment",3,"Strongly aligned to the Dairy Value Chain, focusing on production",2,70% male employment,P1,,100,40,80,60,60,40,10,8,16,15,9,4,62,5,57,296,
application_642_bundle.zip,Applicant_642,CS/25940,Kwale,Edible Oils,Bank statements,722611054,Pass,Necessary documentation attached,5,Registered > 3yrs,1,"minimal transactions, thin evidence",3,"regular B2B/B2C sales but weak channels, small scale",3,"direction clear, but execution resources unclear",3,priority VC; weak linkages; potential to upgrade,3,moderate inclusion,,Tier 2,100,20,60,60,60,60,10,4,12,15,9,6,56,0,56,303,Audrey
application_643_bundle.zip,Applicant_643,CPR/2015/201792,Nakuru,Textile,Income statement,722112019,Fail,No financial evidence from the last 12 months (2021),5,"Registered private company , in existence for 9+ years. Demonstrated leadership",1,Turnover more than 5M . Profits remain positive.Uses QuickBooks for accounting but the financial statement is for 2021 hence invalid,3,"Regular sales to multiple institutional buyers (schools, health, defence sectors, supermarkets,",3,"Strong proposal with defined goals (hub setup, training, equipment acquisition, SEIA, feasibility, marketing strategy).",4,"Fully aligned to Textiles, a designated priority value chain. Plays a processing and manufacturing node linking cotton producers to fabric users (Rivatex, Bungotex)",3,"Good gender balance and youth employees, and engagement in eco-friendly waste disposal using ethanol jikos.",,Tier 2,100,20,60,60,80,60,10,4,12,15,12,6,59,0,59,272,
application_644_bundle.zip,Applicant_644,BTR/DSS/SHG/15278/2019,Kakamega,Other,Bank statements,710564984,Fail,"Not a priority VC, dairy farming",4,Registered more than 5 years but basic governance structure in place,1,thin evidence,4,Active local demand,3,Clear direction,2,operates in dairy farming and have clear goals,3,Good male participation ,P1,,80,20,80,60,40,60,8,4,16,15,6,6,55,5,50,370,
application_645_bundle.zip,Applicant_645,PLC-R2SM59,Trans Nzoia,Dairy,Income statements,740005520,Pass,Necessary documentation attached,5,Registered > 3yrs,5,annual turnover consistently KES 86M–91M,5,"Multi-channel sales: B2B (Daima, Musty), B2C (schools, supermarkets, retailers). KEBS & KDB approvals strengthen competitiveness.",5,"Clear expansion plan: increase capacity from 4,000L → 24,000L/day; job creation; farmer price stabilization; risk identification (infrastructure gaps) with mitigation.",5,"fully integrated dairy node: milk collection, bulking, chilling, processing (UHT, yoghurt), distribution. Strong linkages upstream (farmers) & downstream (distributors/consumers)",5,"Membership majority women (61%) + women leadership on board. Green practices: solar power, planned wood boiler, eco-friendly operations.",,Tier 1,100,100,100,100,100,100,10,20,20,25,15,10,100,0,100,1,Audrey
application_646_bundle.zip,Applicant_646,DSD/37/207/01/108876,Kakamega,Dairy,Bank statements,704577266,Fail,"Not a priority VC, dairy farming",4,Legally registered ,2,turnover less than 1M because it started late this year (2025),3,good local sales,3,they have clear goals,2,operates in dairy cattles ,3,moderate inclusions,DQ1,,80,40,60,60,40,60,8,8,12,15,6,6,55,#N/A,0,520,
