,,"Eligibility Criteria
Decision Box – Eligibility
If any E1–E5 fails → mark INELIGIBLE; exclude from scoring.
If all pass → proceed to Primary Criteria scoring.",,,,,,,"Scoring Rubrics (0–5 anchors per criterion)
Choose the best-fit level per criterion.
Evidence Box – Financial
Accept: bank/M-Pesa PDFs, screenshots (machine-readable if possible), Excel exports, signed income summaries, simple stock/COGS ledgers.",,,,,,,,,,,, Disqualifiers & Penalties,TIERS,NORMALIZED SCORE,,,,,,WEIGHTED SCORING,,,,,,,COMPOSITE SCORE,,RANK,
application_KJET-20251228233053-AUX6_with_attachments_2026-01-14_10-43-02,Applicant_KJET-20251228233053-AUX6,AG0160,NYERI,Coffee,,Yes,Yes,Met requirements,5,Established in 2000,3,Renue 1.3M,5,Ready contracts for exports and regular local sales,4,"strong plan, few gaps in costing and targets",5,Strong node participation including value addition,4,Women owned,,,100,60,100,80,100,80,10,12,20,20,15,8,85,0,85,#VALUE!,
application_KJET-20251229105420-NO0K_with_attachments_2026-01-14_10-43-06,Applicant_KJET-20251229105420-NO0K,DSD/19/95/01/112459,NYERI,OTHER,Beekeeping,No,Yes,Met minimum requirements for evaluation,3,"Registered in 2025, basic governance structure",1,Thin evidence,0,No market/e commerce information,3,"no costed budget, no confirmed market agreements",0,Not in priority VC,2,"No women/youth, only green practices mentioned",,,60,20,0,60,0,40,6,4,0,15,0,4,29,0,29,#VALUE!,
application_KJET-20251230112627-6QOQ_with_attachments_2026-01-14_10-43-08,Applicant_KJET-20251230112627-6QOQ,cs/18570,NYERI,Dairy,,Yes,Yes,Met minimum requirements for evaluation,5,"Established in 2015, governance structure in place",5,"Revenue exceeds 10M, evidence provided",5,"Signed contracts, MOUs present, use digital spaces etc",3,"no specific revenue targets, volume targets, timelines, or costed budgets are provided in the application",5,Strong node participation including value addition,3,Low youth inclusivity,,,100,100,100,60,100,60,10,20,20,15,15,6,86,0,86,#VALUE!,
application_KJET-20251230135320-D4BD_with_attachments_2026-01-14_10-43-10,Applicant_KJET-20251230135320-D4BD,CS/9448,NYERI,Coffee,,Yes,Yes,Met minimum requirements for evaluation,5,"Established in 2010, governance structure in place",2,Statements dont match information provided in the application,5,"Active contracts, quality assurance done, exports, strong market presence",3,"no specific revenue targets, production volume targets, timelines, or costed budgets",4,"Strong node presence, planned expansion will bring it to a complete node coverage",3,Low youth inclusivity,P1,,100,40,100,60,80,60,10,8,20,15,12,6,71,5,66,#VALUE!,
application_KJET-20251230193259-REEU_with_attachments_2026-01-14_10-43-12,Applicant_KJET-20251230193259-REEU,ASS RA-D5SENP,NYERI,OTHER,Creative economy,No,Yes,Met minimum requirements for evaluation,3,"Registered in 2025, basic governance structure",0,"No transactions to verify, aspirational figures given, inconsistent info in application form",3,"no confirmed buyers, no signed MOUs and no revenue evidence to validate market demand claims",3,plan is clear but budgets and targets are generic,0,Not in priority VC,4,"high inclusivity, green practices generic",P1,,60,0,#VALUE!,#VALUE!,0,80,6,0,#VALUE!,#VALUE!,0,8,#VALUE!,5,#VALUE!,#VALUE!,
application_KJET-20251231110216-EENW_with_attachments_2026-01-14_10-43-14,Applicant_KJET-20251231110216-EENW,ASS-2004445,NYERI,Dairy,,No,Yes,Met minimum requirements for evaluation,5,"Established in 2022, governance structure in place",0,"No transactions to verify, aspirational figures given, inconsistent info in application form",1,"Weak market evidence-sales madeto ""people gathered in functions""",1,"plan is vague in strategy, budgets, timelines etc",3,In priority VC but linkages are weak,4,"high inclusivity, female membership doesnt meet 50%+ threshold",P1,,100,0,20,20,60,80,10,0,4,5,9,8,36,5,31,#VALUE!,
application_KJET-20251231113554-Y3HI_with_attachments_2026-01-14_10-43-16,Applicant_KJET-20251231113554-Y3HI,ASS-EE5D45E,NYERI,OTHER,Horticulture,No,Yes,Met minimum requirements for evaluation,4,"Established in 2023, governance structure in place",0,"No transactions to verify, aspirational figures given, inconsistent info in application form",3,"Regular local sales, vague descriptions provided though",1,"Aspirational, no concrete plan",2,Unclear node participation,2,"Low inclusion, ad hoc green steps",P1,,80,0,60,20,40,40,8,0,12,5,6,4,35,5,30,#VALUE!,
application_KJET-20251231192840-7IWV_with_attachments_2026-01-14_10-43-18,Applicant_KJET-20251231192840-7IWV,CS-6422,NYERI,Dairy,,No,Yes,Met minimum requirements for evaluation,5,"Established in 2011, basic governance structure in place",0,Not certified or signed,4,"B2B,B2C channels, quality assurance in place",4,"strong plan, few gaps in costing and targets",4,"clear node participation, few linkages",4,"Low youth inclusivity, multiple greenpractices",,,100,0,80,80,80,80,10,0,16,20,12,8,66,0,66,#VALUE!,
application_KJET-20251231204451-7LZE_with_attachments_2026-01-14_10-43-19,Applicant_KJET-20251231204451-7LZE,BN/2011/137672,NYERI,Coffee,,Yes,Yes,Met minimum requirements for evaluation,5,"Established in 1991, basic governance structure in place",3,"Turnover of 3M IN 2024, EVIDENCE PROVIDED",4,regular sales including exports,3,"clear direction, generic targets and budgets",4,"clear node participation, few linkages",4,"High participation, 2 green practices noted",,,100,60,80,60,80,80,10,12,16,15,12,8,73,0,73,#VALUE!,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMBURU,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
application_KJET-20251223140249-HACC_with_attachments_2026-01-14_10-48-56,Applicant_KJET-20251223140249-HACC,EOS35V3W,SAMBURU,OTHER,"honey value chain,",yes,YES,"All requirements have been met , valid registration certificate, provided contact details, and financial evidence",3,"Registered in 2024 (<1 year). Basic operational structure in place. Limited governance structure (no chairperson, secretary, treasurer listed). Early-stage enterprise.",2,"Turnover in 2024 is KES 50,000 (<1M). Financial records exist (MPESA & bank statements), but scale is very small. No accounting system in place. Limited financial track record (only operational in 2024).",3,"Regular B2C and B2B sales (70% B2C, 30% B2B). Discussions and MOUs with hotels and retail shops mentioned. Multi-channel approach including digital platforms. However, no formal offtake contracts or documented purchase orders provided.",3,"Clear objectives (job creation, hive expansion, automation). Quarterly review mechanism defined. Cost drivers identified. Planned investments outlined (modern hives, automated processing, branding). Risk areas acknowledged (capital, market access). Minor gaps in quantified budgeting details.",3,"enterprise actively participates across multiple honey value chain nodes (production, aggregation, processing, packaging, training). Linkages exist but not formally documented.",3,"Women-owned enterprise (>51% female ownership). Youth and women engagement in operations. 5 employees and 6 members in 2024. Clear green practices: tree planting, climate-smart beekeeping, beeswax repurposing. Strong sustainability narrative, though quantitative impact metrics not provided.",,,60,40,60,60,60,60,6,8,12,15,9,6,56,0,56,3,
application_KJET-20251229203526-PFPM_with_attachments_2026-01-14_10-48-54,Applicant_KJET-20251229203526-PFPM,DSD/25/134/01/5279,SAMBURU,Dairy,,YES,YES,"All requirements have been met within the PVC , valid registration certificate, provided contact details, and financial evidence",3,"Established in 2024 (<1 year registration). However,steady membership growth (10 → 35 members). Governance structure defined (Chairperson, Secretary, Treasurer, Manager). Early-stage but functional.",1,"Turnover in 2024 is Lower  . However, scale remains small and no accounting system in place.",3,"Active B2B (60%) supply to hotels and B2C (40%) through milk kiosks. Growing production and sales implied by revenue increase. However, no formal contracts, no digital channels, and limited competitive analysis provided.",2,"Growth ambition stated (cooling plant, powder milk processing, market expansion). However, plan lacks detailed budgeting, timelines, risk mitigation, and operational roadmap. Targets are broad (value addition, market access) without SMART indicators.",3,"Operates in a priority value chain (Dairy). Engaged in aggregation and supply of camel milk to hotels and kiosks. Clear node participation (aggregation and distribution). However, limited documented upstream/downstream formal linkages.",3,"Not women-owned, but strong inclusion: 15 female members out of 35 (43%). High youth participation (majority aged 18–35). Sustainable practices include tree planting and controlled grazing. Environmental practices mentioned but not deeply structured or documented.",,,60,20,60,40,60,60,6,4,12,10,9,6,47,0,47,5,
application_KJET-20251230134020-9A5J_with_attachments_2026-01-14_10-48-52,Applicant_KJET-20251230134020-9A5J,SBU/C/SH/0133529/2022,SAMBURU,OTHER,poulty farmers,NO,YES,Minimal financial evidence,3,"Registered since 2022 (1–3 years). Documented leadership structure (Chairperson, Secretary, Treasurer). Membership growth strong (10 → 35 members). Operational continuity demonstrated.",0,Minimal financial evidence,3,"Active B2B sales (70%) to hotels and institutions and 30% B2C to local buyers. Steady revenue growth indicates consistent demand. However, no formal contracts, no digital channels, and limited structured marketing strategy (referrals only).",2,"Objectives stated (improve production, quality, living standards), but lack of detailed business plan, budget, timelines, or risk mitigation measures. Growth strategy is general and not costed.",2,"Operates in non-priority value chain (OTHER). Engaged in poultry production and feed manufacturing, but limited documentation of structured upstream/downstream linkages..",2,"Women-owned enterprise with strong female participation (32 out of 35 members in 2024 ≈ 91%). Leadership positions held by women. Table banking initiative supports financial inclusion. Some adaptive practices (reducing stock during disease seasons), though environmental sustainability practices are limited.",P1,,60,0,60,40,40,40,6,0,12,10,6,4,38,5,33,10,
application_KJET-20251230143758-PRNO_with_attachments_2026-01-14_10-48-50,Applicant_KJET-20251230143758-PRNO,sbu/c/sh/0034860,SAMBURU,OTHER,Honey Processing,NO,YES,Unable to verify financial statement,3,"Registered in 2023 (<1 year–2 years). Functional leadership structure (Chairperson, Secretary, Treasurer). Strong membership growth (15 → 37 members). Operational continuity demonstrated but still early-stage.",0,Unable to verify financial statement,3,Strong B2B orientation (80%) supplying hotels and supermarkets. Active use of digital/social media channels. Value-added refined honey products. Competitive positioning based on organic/original honey and limited handling,3,"Clear direction toward online marketing, capacity building, and expansion. Identified need for leadership and financial training. However, growth plan lacks detailed costed budget, risk mitigation, and measurable SMART targets.",3,"Non-priority value chain (OTHER). However, strong participation across multiple nodes: hive manufacturing, honey production, processing, value addition, and conservation. Demonstrates vertical integration within honey chain.",3,"Youth-dominated association (majority 18–35 years). Female participation significant (17 of 37 members ≈ 46%). Environmental conservation activities: tree planting, water catchment, climate-smart farming practices. Structured sustainability orientation though without quantified impact metrics.",P1,,60,0,60,60,60,60,6,0,12,15,9,6,48,5,43,6,
application_KJET-20251230170219-QQS9_with_attachments_2026-01-14_10-48-48,Applicant_KJET-20251230170219-QQS9,DSD/25/133/01/79631,SAMBURU,Construction Materials,,NO,YES,Minimal financial evidence as statement is for only 2 months,3,"Registered in 2023 (1–2 years). Functional leadership structure (Chairperson, Secretary, Treasurer). Strong membership growth (50 → 80 members). Early-stage but organized and expanding",0,Minimal financial evidence as statement is for only 2 months,3,"Active B2B (40%) with institutions and B2C (60%) with individuals. MOUs with schools and institutional clients indicate recurring demand. However, marketing strategy largely referral-based and limited competitive differentiation beyond unity as a group.",3,"Clear ambition to become leading construction cooperative and expand outside Samburu. Mentorship and youth attachment initiatives noted. However, lacks detailed costed expansion plan, risk mitigation, and structured tender acquisition roadmap.",3,"Operates within priority Construction value chain. Provides both services and material supply, participating in multiple nodes (procurement, service delivery, supply). Some institutional linkages documented (MOUs). Limited evidence of upstream formal supplier contracts.",3,Women-owned enterprise with 60% women in leadership and 35/80 female members (44%). Strong employment growth (10 → 15 employees). Environmental initiative against harvesting immature timber. Group savings culture supports inclusion. Green practices present but not deeply structured.,P1,,60,0,60,60,60,60,6,0,12,15,9,6,48,5,43,6,
application_KJET-20251230190020-6SPV_with_attachments_2026-01-14_10-48-46,Applicant_KJET-20251230190020-6SPV,CS/16902,SAMBURU,Construction Materials,,YES,YES,"All requirements have been met within the PVC , valid registration certificate, provided contact details, and financial evidence",4,"Established in 2014 with steady membership growth (120 → 200). Strong governance structure including Chairperson, Secretary, Director, Manager, Treasurer. Demonstrates long-term operational stability.",2,"Revenue above KES 1M with steady growth. Uses QuickBooks accounting system. However, major inconsistency in 2024 profit figure reduces confidence in financial accuracy.",3,"Balanced B2B (60%) and B2C (40%) mix. Institutional buyers (learning institutions) and private investors provide diversified market base. However, marketing approach largely referral-based with limited structured competitive differentiation.",3,"Clear strategic vision (leading cooperative in Samburu, improving housing standards, mentorship programs). Strong employment growth (10 → 25 employees). However, limited detail on costed expansion strategy, technology upgrade roadmap, or financing plan.",3,"Strong integration across construction value chain (materials procurement, processing, supply, services). Large membership base strengthens bargaining power and supply capacity.",3,"30% women representation at board level. Female membership (60 of 200 in 2024). Employment creation growing significantly. Environmental conservation practices (discouraging immature timber harvesting, rehabilitation of extraction sites). Table banking and soft loans promote financial inclusion.",,,80,40,60,60,60,60,8,8,12,15,9,6,58,0,58,2,
application_KJET-20251231112354-V9KT_with_attachments_2026-01-14_10-48-42,Applicant_KJET-20251231112354-V9KT,SHG519351,SAMBURU,Construction Materials,,NO,YES,Financial statement is unreadable,2,Established in 2023 (1–2 years old). Very small scale (2 employees). Limited operational history and growth trajectory.,0,Financial statement is unreadable,3,"Serves both B2B (40%) institutions and B2C (60%) local consumers. MOUs with learning institutions indicate structured demand. However, heavy reliance on imported timber increases cost and weakens competitiveness.",3,"Clear ambition to become leading furniture and construction company in Samburu. However:No costed expansion strategy,Limited staffing capacity (2 employees),Heavy dependency on external timber supply,No structured digital or market diversification strategy,Growth potential exists but is currently constrained by capital and supply chain limitations.",3,"Participates in multiple nodes (construction services, furniture production, material supply). Some institutional linkages. However, scale is limited and vertical integration is weak due to timber import dependency.",2,"Not women-owned. Very small employment footprint (2 employees). Positive environmental practices:Discouraging immature timber harvesting,Tree planting,Developing own man-made forest for future timber supply",P1,,40,0,60,60,60,40,4,0,12,15,9,4,44,5,39,9,
application_KJET-20251231113448-0F32_with_attachments_2026-01-14_10-48-35,Applicant_KJET-20251231113448-0F32,SHG142869,SAMBURU,OTHER,livestock trading,NO,YES,Minimal financial evidence as statement is for only 1 Month,2,Established in 2023 (early-stage). Stable membership (24 members) but no growth yet. Functional leadership structure in place.,0,Minimal financial evidence as statement is for only 1 Month,3,"Strong export exposure (50%), B2B linkages (45%) with livestock buyers and meat exporters. Clear product niche (male goats and sheep aged 6–12 months). However, limited direct marketing strategy and heavy exposure to climate risks.",3,"Clear growth ambition (bi-weekly trading instead of monthly, direct export plans). Identified capital needs to reduce fattening risk. However:Limited structured expansion roadmap,Heavy drought vulnerability,Limited market diversification strategy",3,"Participates in livestock aggregation, fattening, and supply to exporters and butcheries. Strong local sourcing and community integration. However, limited processing or value addition beyond trading.",3,"70% women-owned,16 of 24 members are women,Strong community livelihood impact.Active soil and pasture conservation (semi-circular bunds to prevent erosion and enhance grass growth) Climate adaptation awareness",P1,,40,0,60,60,60,60,4,0,12,15,9,6,46,5,41,8,
application_KJET-20251231124416-NQAE_with_attachments_2026-01-14_10-48-33,Applicant_KJET-20251231124416-NQAE,SBU/C/CBO/09112/2022,SAMBURU,OTHER,"Forestry(tree nursery production, environmental conservation, and beadwork support activities)",YES,YES,"All requirements have been met , valid registration certificate, provided contact details, and financial evidence",3,Established in 2022 (2–3 years operational). Strong membership growth (20 → 45 members). Structured leadership in place. Demonstrates stability at community level.,2,"Turnover remains micro-scale (KES 200,000 in 2024). Positive profit margins (~30%) and steady growth trend. Financial base is still very small, limiting scalability.",3,"Strong institutional linkage (60% B2B sales to Kenya Forest Service during planting seasons). Diversified income streams (tree seedlings, beadwork, recycling initiatives). However, market demand is seasonal and dependent on NGO/KFS support.",3,"Clear social and environmental mission (reduce charcoal burning, promote alternative livelihoods, climate-smart agriculture). Membership expanding steadily. However:No structured scale-up plan,Limited equipment and infrastructure,Heavy reliance on grant/partner-driven demand",2,Operates mainly in tree seedling production and environmental advocacy. Limited integration into broader commercial forestry or agro-value chains. Strong social impact but limited economic depth in value chain positioning.,4,"100% women membership,Focus on young mothers affected by early pregnancy,Strong social empowerment mission,Active environmental conservation (tree nursery, recycling plastic waste, discouraging charcoal burning),Climate resilience awareness in ASAL context",,,60,40,60,60,40,80,6,8,12,15,6,8,55,0,55,4,
application_KJET-20251231170659-DT6K_with_attachments_2026-01-14_10-48-31,Applicant_KJET-20251231170659-DT6K,DSD/25/134/02/101470,SAMBURU,Dairy,,YES,YES,"All requirements have been met within the PVC , valid registration certificate, provided contact details, and financial evidence",4,"Operational since 2021 (3–4 years),Steady growth in membership (15 → 25) and employees (2 → 3),Structured leadership team in place,Clear operational scope and documented activities",3,"Positive revenue growth .Profits improving (KES 70k → 200k),Small-scale operations, limited scalability without additional investment",3,"Local and institutional buyers (70% B2B to schools, 30% B2C),Market demand for milk and value-added products is steady,Main competitor: Samburu Dairy Cooperative (larger capacity, machines),Current operations rely on small-scale milk production",3,"Clear growth objectives: increasing milk production, value addition, market balance.Plans for scaling production with more equipment.Challenges: drought, high cost of cattle breeds, feed availability.Strong potential but dependent on capital investment and technical support",4,"Engaged in both primary production (milk) and value addition (ghee, yoghurt, cheese).Moderate integration in local dairy value chain.Adds economic value to raw milk and supports local supply-demand balance",4,"70% women members, leadership mainly women.Climate-smart practices (tree planting, feed planting, drought resilience).Small environmental footprint, community-oriented impact",,,80,60,60,60,80,80,8,12,12,15,12,8,67,0,67,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAYA,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,
application_KJET-20251204133810-5MRH_with_attachments_2026-01-14_10-53-19,application_KJET-20251204133810-5MRH_with_attachments_2026-01-14_10-53-19,CS/6764,SIAYA,Dairy,,No,Yes,Minimal financials evidence uploaded,4,"Registered in 1993, with a good leadership structure",1,Minimal financials uploaded,2,"0% B2B, 40% B2C. CONTRADICTORY: B2B described as ""Direct consumers"", B2C as ""Institutions"" (reversed). No digital channels. No accounting system",2,"Vague plan: ""package milk, sell to supermarkets, improve breeds"". No costed budget, timeline, or detailed strategy",4,"Dairy (priority VC), aggregation + value addition (yoghurt, mala). Training on good husbandry and clean milk handling. ",3,"30% of the board of Directors composed of women. Green initiatives: Fodder conservation, animal synchronization",,,80,20,40,40,80,60,8,4,8,10,12,6,48,0,48,25,
application_KJET-20251213102517-GVL6_with_attachments_2026-01-14_10-57-55,Applicant_KJET-20251213102517-GVL6,BON YG/ 6193,SIAYA,Blue Economy,,No,Yes,No financial document attached,4,"Registered in 2007, with a  basic governance structure(Chairperson, Secretary, Treasurer). ",0,No financial evidence attached in this application,2,"50% B2C, 40% B2B, 10% exports. Digital channels claimed.",2,"Vague plan: ""reach customers direct"", ""use marketing saccos and online media"". Plans fish cages with CCTV. No costed budget or detailed strategy",4,"Blue Economy (priority VC), fish cage farming: site selection→construction→stocking→feeding→monitoring→harvesting. Fish + fish fillets. Greenhouse for breeding",4,"Owned by entirely women. Local feeds (no pollution), IBC tanks, azolla plants, greenhouse breeding outside lake",P1,,80,0,40,40,80,80,8,0,8,10,12,8,46,5,41,30,
application_KJET-20251218141013-STB3_with_attachments_2026-01-14_10-52-59,Applicant_KJET-20251218141013-STB3,BN/2014/318301,SIAYA,Construction Materials,,Yes,Yes,All requirements met,4,"Partnership registered in 2019. Clear governance: CEO, Director, Manager, Treasurer.",2,Turnover is less than 1M,4,"Gypsum decorative products (cornices 45%, medallions 35%, wainscoting 20%). 55% B2B (developers, designers, contractors), 45% B2C. Clear market positioning",4,"Detailed growth plan: automated mixing/casting equipment, expanded mould sets, improved drying facilities, design/accounting software. Production targets: 4,000 cornices, 150 medallions, 2,000 wainscoting monthly",5,"Construction (priority value chain). Gypsum production, finishing, installation. Full value chain: procurement → casting → finishing → installation for residential/commercial projects",3,"Manager is a female. Gypsum waste recycling, eco-friendly finishes, energy-efficient drying, dust control, soil neutralization with waste",,,80,40,80,80,100,60,8,8,16,20,15,6,73,0,73,5,
application_KJET-20251220215954-IEIN_with_attachments_2026-01-14_10-52-56,Applicant_KJET-20251220215954-IEIN,CS/31844,SIAYA,OTHER,Chicken related inputs and products.,yes,Yes,Not enough financials attached,3,Registered in 2025. Full governance structure (6 officers). Very new cooperative,2,Turnover is less than 1M,3,"Black Soldier Fly (BSF) larvae for chicken feed production. 30% B2B, 70% B2C. Competes with feed manufacturers. Unique organic waste-to-protein model. ",3,"Clear targets: 10→60 BSF units by 2027. Investment plan: battery cages (480K), broiler processing (200K), freezers (200K), solar (390K), feeds (150K) = 1.42M total. Awaiting product certification",4,"Alternative protein/feed production supporting poultry sector. Innovative circular economy model addressing agricultural input costs. Supports priority sectors indirectly (dairy, poultry value chains)",5,"Management has 5 female members while The supervisory committee has 1 female. 50% women led. Circular economy: waste→BSF→feed. 30% CO2 reduction, regenerative agriculture",,,60,40,60,60,80,100,6,8,12,15,12,10,63,0,63,10,
application_KJET-20251226152806-DTSV_with_attachments_2026-01-14_10-52-52,Applicant_KJET-20251226152806-DTSV,CS/16637,SIAYA,Blue Economy,,Yes,Yes,All requirements met,4,"Registered 2014 (11 years). Cooperative with clear governance (Chairperson, Secretary, Manager, Treasurer)",2,Turnover is less than 1M,4,"Blue Economy: fishing, processing (Nile perch, tilapia, omena). Sun-drying, smoking, frying, vacuum-sealed fillets, fish powder/oil. 45% B2B (hotels, restaurants), 53% B2C, 2% export. Zoho Books accounting",4,"Detailed plan: expand to 4 counties, 15%→50% processed products, 5 institutional contracts, 2 retail outlets, 60% revenue growth in 3 years. Digital marketing (social media, e-commerce), radio outreach",5,"Blue Economy (PRIORITY value chain). Full value chain: fishing (cages/wild catch) → processing (drying, smoking, frying, filleting) → packaging → distribution (local, regional, export markets)",5,"60% female members (210/350), 40% women board (4/10). Circular economy: net recycling, solar lamps, cage aquaculture, rainwater harvesting, reforestation, wastewater reuse",,,80,40,80,80,100,100,8,8,16,20,15,10,77,0,77,3,
application_KJET-20251227164034-MFT0_with_attachments_2026-01-14_10-52-48,Applicant_KJET-20251227164034-MFT0,CS/5582,SIAYA,Dairy,,No,Yes,Financials for 2025 are missing,4,"Registered in 1989. Stable membership: 1,860→2,000→2,001 members. Minimal governance structure (Chairperson, Secretary, Treasurer only)",2,Turnover is less than 1M,2,"Dairy processing: pasteurized milk, yoghurt, mala. 20% B2B (cooperative-to-cooperative), 78% B2C (consumers, milk bars). Competes with supermarkets. Procurement 50 KES/L, sells 60 KES/L (10-20 KES margin)",1,"Vague plan: ""stabilize products and move to next market share"". Targets supermarkets but no costed budget, no MOUs, no specific timelines. Minimal effort application (short responses)",5,"Dairy (priority value chain). Full processing: collection → bulking → grading → toxin testing → processing (pasteurization, yoghurt, mala) → distribution to B2B/B2C markets",3,"48% female (962/2,001), woman Chairperson, 46% youth (920/2,001). Solar power installation, waste management plan. Transport challenges across vast geography",,,80,40,40,20,100,60,8,8,8,5,15,6,50,0,50,20,
application_KJET-20251227173725-CAVP_with_attachments_2026-01-14_10-52-43,Applicant_KJET-20251227173725-CAVP,CS680,SIAYA,Coffee,Seedling distribution and marketing via KPCU,Yes,Yes,All requirements met,3,"Registered in 1959, revived from dormancy with new leadership. Growing membership: 21→27→37 (76% growth). Strategic partnerships: Ministry of Agriculture, AFFA, SOCFIN, New KPCU. Zero leadership",2,Turnover is less than 1M,3,"Coffee production and aggregation. Sales agreement with New KPCU Bugoma (40% down payment). Competes with Ugandan middlemen. Plans value addition, processing. Good agricultural practices focus",4,"Strong revival plan: 15,000 new seedlings, value addition equipment, farmer recruitment, GAPs training, soil health/climate-smart farming. Target: leading coffee region by 2030. Active partnerships mobilizing resources",5,"Coffee (priority value chain). Currently: seedling distribution → production → aggregation → marketing via New KPCU. Plans: processing, milling, grading, packaging. ",2,"Women own large farms (400+ trees), women in leadership. Organic farming, composting, shade trees, rainwater harvesting, climate-smart practices",,,60,40,60,80,100,40,6,8,12,20,15,4,65,0,65,8,
application_KJET-20251227183041-KVU8_with_attachments_2026-01-14_10-52-41,Applicant_KJET-20251227183041-KVU8,DSD/41/236/01/9398,SIAYA,Blue Economy,,No,Yes,Very minimal financial evidence attached,4,"Self Help Group registered in 2024. Growing membership: 12→17→27 (125% growth). 100% women (widows/orphans focus). Basic governance structure(Chairperson, Secretary, Treasurer).",1,Minimal financials uploaded,3,"Blue Economy: fish cage farming (8-12 month harvest cycle), omena air-drying. 50% B2B, 50% B2C (both ""local market""). 1 cage = 150K cost, 1,500 fingerlings. Quality graded fish claim",1,"Vague plan: ""export fish in large quantity"", ""have a factory"". No costed budget, no specific targets, no timelines. Minimal effort application (1-2 word responses: ""local sauce"", ""fridges/coolers"", ""no"")",4,Blue Economy (PRIORITY value chain). Fish cage farming + omena processing (air-drying). Production → processing → local market sales. Limited value addition (no cold storage),3,"100% women (27/27 - widows/orphans). No sustainable practices described (""no"" response). Fisheries mentioned but no green initiatives detailed",,,80,20,60,20,80,60,8,4,12,5,12,6,47,0,47,26,
application_KJET-20251227183129-TAOI_with_attachments_2026-01-14_10-52-39,Applicant_KJET-20251227183129-TAOI,CS/27225,SIAYA,Edible Oils,,No,Yes,Very minimal financial evidence attached,3,"Registered in 2022. Strong growth: 88→157→222 members. Clear governance (Chairperson, Secretary, Treasurer). 1→2 employees",1,Minimal financials uploaded,3,"Edible oils (soya beans): aggregation, sorting, grading, market linkages. 10-20% margins for raw beans, 20-30% for processed oil. Competes with cooperatives, traders, processors. Preliminary MOUs with regional buyers",4,"Detailed plan: improved storage (warehouses, hermetic systems), mechanized sorting, oil-processing equipment, transport capacity, quality-testing tech, digital traceability. Target wholesalers, processors, retail chains",4,Edible Oils (PRIORITY value chain). Currently: aggregation → sorting/grading → storage → marketing. Plans oil processing (value addition). Soya beans focus. Not yet processing oils (aggregation stage only),4,"51%+ women ownership, women in leadership. Organic fertilizers, IPM, rainwater harvesting, efficient irrigation, waste reduction, recycling, safe disposal",,,60,20,60,80,80,80,6,4,12,20,12,8,62,0,62,12,
application_KJET-20251229011728-SRFO_with_attachments_2026-01-14_10-52-36,Applicant_KJET-20251229011728-SRFO,PVT-BUEX8PX9,SIAYA,Blue Economy,,Yes,Yes,All requirements met,4,"Private company registered 2021 (4 years). Strong growth: 28→44→56 employees (100% increase). Clear governance (CEO, Director, Manager, Treasurer)",3,Turnover of 1M - 5M,5,"Blue Economy: fish feed production (alternative proteins: BSF larvae, azolla, plant proteins) + fingerlings. 40% B2B, 60% B2C. Competes with Unga, Sigma, Ala Aqua. 50% lower cost, 30% yield improvement. E-commerce enabled",5,"Detailed plan: off-grid solar (10% cost reduction, 804K kg CO2 savings), feather meal protein (80% crude protein), fish processing (fillets, flour, silage), expand to 97% of 1,600 Lake Victoria beaches. ",5,Blue Economy (PRIORITY). Full value chain: raw material sourcing → feed formulation/production → fingerling hatchery → farmer support (14 hubs) → cage farming → planned fish processing. Circular economy model,5,"51% women-owned (CEO), 61% female employees (34/56). Floating feed (prevents eutrophication), solar energy, manual boats (no fuel pollution), cage farming (reduces overfishing), circular economy",,,80,60,100,100,100,100,8,12,20,25,15,10,90,0,90,1,
application_KJET-20251229233144-T3BD_with_attachments_2026-01-14_10-52-29,Applicant_KJET-20251229233144-T3BD,BN-KDS97P6B,SIAYA,Edible Oils,,No,Yes,Very minimal financial evidence attached,3,"Registered in 2024. Basic governance structure (Secretary, CEO, Manager). Very new enterprise",1,Very thin financial evidence,2,"Edible oils: groundnuts & soybean aggregation + extension services. Partners with processors, sells to local markets/supermarkets. 20% B2B (seed companies), 80% B2C. Competes with brokers",3,"Targets: 20% production increase, 10M sales growth, 1M cost savings. Plans oil extraction/processing equipment. MOU discussions with Kedevris Ltd. Transition from aggregation to processing",3,"Edible Oils (PRIORITY value chain). Currently aggregation only: farmer sourcing → sorting/grading → partner processing → market sales. Plans own processing (extraction, refining). Not yet processing",4,"86% female, women in management (Secretary, Manager). Regenerative agriculture training: kitchen gardening, composting, mulching, water conservation, afforestation",,,60,20,40,60,60,80,6,4,8,15,9,8,50,0,50,20,
